state-name,month,season,season and year,quadrant ,quadrant + year,milk production per cow,avg heat index
ARIZONA,10/2019,Autumn,Autumn 2019,Q4,Q4 2019,"1,975",
ARIZONA,11/2019,Autumn,Autumn 2019,Q4,Q4 2019,"1,980",
ARIZONA,12/2019,Winter,Winter 2019,Q4,Q4 2019,"2,085",
ARIZONA,1/2020,Winter,Winter 2020,Q1,Q1 2020,"2,140",
ARIZONA,2/2020,Winter,Winter 2020,Q1,Q1 2020,"2,100",
ARIZONA,3/2020,Spring,Spring 2020,Q1,Q1 2020,"2,285",
ARIZONA,4/2020,Spring,Spring 2020,Q2,Q2 2020,"2,155",
ARIZONA,5/2020,Spring,Spring 2020,Q2,Q2 2020,"2,145",
ARIZONA,6/2020,Summer,Summer 2020,Q2,Q2 2020,"2,015",
ARIZONA,7/2020,Summer,Summer 2020,Q3,Q3 2020,"1,925",
ARIZONA,8/2020,Summer,Summer 2020,Q3,Q3 2020,"1,840",
ARIZONA,9/2020,Autumn,Autumn 2020,Q3,Q3 2020,"1,835",
ARIZONA,10/2020,Autumn,Autumn 2020,Q4,Q4 2020,"1,990",
ARIZONA,11/2020,Autumn,Autumn 2020,Q4,Q4 2020,"1,965",
ARIZONA,12/2020,Winter,Winter 2020,Q4,Q4 2020,"2,105",
ARIZONA,1/2021,Winter,Winter 2021,Q1,Q1 2021,"2,160",
ARIZONA,2/2021,Winter,Winter 2021,Q1,Q1 2021,"2,000",
ARIZONA,3/2021,Spring,Spring 2021,Q1,Q1 2021,"2,260",
ARIZONA,4/2021,Spring,Spring 2021,Q2,Q2 2021,"2,185",
ARIZONA,5/2021,Spring,Spring 2021,Q2,Q2 2021,"2,205",
ARIZONA,6/2021,Summer,Summer 2021,Q2,Q2 2021,"2,025",
ARIZONA,7/2021,Summer,Summer 2021,Q3,Q3 2021,"1,905",
ARIZONA,8/2021,Summer,Summer 2021,Q3,Q3 2021,"1,825",
ARIZONA,9/2021,Autumn,Autumn 2021,Q3,Q3 2021,"1,790",
ARIZONA,10/2021,Autumn,Autumn 2021,Q4,Q4 2021,"1,960",
ARIZONA,11/2021,Autumn,Autumn 2021,Q4,Q4 2021,"1,960",
ARIZONA,12/2021,Winter,Winter 2021,Q4,Q4 2021,"2,090",
ARIZONA,1/2022,Winter,Winter 2022,Q1,Q1 2022,"2,115",
ARIZONA,2/2022,Winter,Winter 2022,Q1,Q1 2022,"2,010",
ARIZONA,3/2022,Spring,Spring 2022,Q1,Q1 2022,"2,270",
ARIZONA,4/2022,Spring,Spring 2022,Q2,Q2 2022,"2,175",
ARIZONA,5/2022,Spring,Spring 2022,Q2,Q2 2022,"2,175",
ARIZONA,6/2022,Summer,Summer 2022,Q2,Q2 2022,"2,010",
ARIZONA,7/2022,Summer,Summer 2022,Q3,Q3 2022,"1,905",
ARIZONA,8/2022,Summer,Summer 2022,Q3,Q3 2022,"1,840",
ARIZONA,9/2022,Autumn,Autumn 2022,Q3,Q3 2022,"1,790",
ARIZONA,10/2022,Autumn,Autumn 2022,Q4,Q4 2022,"1,935",
ARIZONA,11/2022,Autumn,Autumn 2022,Q4,Q4 2022,"1,965",
ARIZONA,12/2022,Winter,Winter 2022,Q4,Q4 2022,"2,085",
ARIZONA,1/2023,Winter,Winter 2023,Q1,Q1 2023,"2,115",
ARIZONA,2/2023,Winter,Winter 2023,Q1,Q1 2023,"2,000",
ARIZONA,3/2023,Spring,Spring 2023,Q1,Q1 2023,"2,270",
ARIZONA,4/2023,Spring,Spring 2023,Q2,Q2 2023,"2,185",
ARIZONA,5/2023,Spring,Spring 2023,Q2,Q2 2023,"2,190",
ARIZONA,6/2023,Summer,Summer 2023,Q2,Q2 2023,"2,030",
ARIZONA,7/2023,Summer,Summer 2023,Q3,Q3 2023,"1,910",
ARIZONA,8/2023,Summer,Summer 2023,Q3,Q3 2023,"1,850",
ARIZONA,9/2023,Autumn,Autumn 2023,Q3,Q3 2023,"1,835",
ARIZONA,10/2023,Autumn,Autumn 2023,Q4,Q4 2023,"1,960",
ARIZONA,11/2023,Autumn,Autumn 2023,Q4,Q4 2023,"1,960",
ARIZONA,12/2023,Winter,Winter 2023,Q4,Q4 2023,"2,090",
ARIZONA,1/2024,Winter,Winter 2024,Q1,Q1 2024,"2,125",
ARIZONA,2/2024,Winter,Winter 2024,Q1,Q1 2024,"2,070",
ARIZONA,3/2024,Spring,Spring 2024,Q1,Q1 2024,"2,280",
ARIZONA,4/2024,Spring,Spring 2024,Q2,Q2 2024,"2,180",
ARIZONA,5/2024,Spring,Spring 2024,Q2,Q2 2024,"2,185",
ARIZONA,6/2024,Summer,Summer 2024,Q2,Q2 2024,"2,015",
ARIZONA,7/2024,Summer,Summer 2024,Q3,Q3 2024,"1,905",
ARIZONA,8/2024,Summer,Summer 2024,Q3,Q3 2024,"1,860",
ARIZONA,9/2024,Autumn,Autumn 2024,Q3,Q3 2024,"1,850",
ARIZONA,10/2024,Autumn,Autumn 2024,Q4,Q4 2024,"1,960",
ARIZONA,11/2024,Autumn,Autumn 2024,Q4,Q4 2024,"1,955",
ARIZONA,12/2024,Winter,Winter 2024,Q4,Q4 2024,"2,095",
ARIZONA,1/2025,Winter,Winter 2025,Q1,Q1 2025,"2,145",
ARIZONA,2/2025,Winter,Winter 2025,Q1,Q1 2025,"2,015",
ARIZONA,3/2025,Spring,Spring 2025,Q1,Q1 2025,"2,275",
ARIZONA,4/2025,Spring,Spring 2025,Q2,Q2 2025,"2,185",
ARIZONA,5/2025,Spring,Spring 2025,Q2,Q2 2025,"2,185",
ARIZONA,6/2025,Summer,Summer 2025,Q2,Q2 2025,"2,040",
ARIZONA,7/2025,Summer,Summer 2025,Q3,Q3 2025,"1,950",
ARIZONA,8/2025,Summer,Summer 2025,Q3,Q3 2025,"1,890",
ARIZONA,9/2025,Autumn,Autumn 2025,Q3,Q3 2025,"1,840",
ARIZONA,10/2025,Autumn,Autumn 2025,Q4,Q4 2025,"1,945",
ARIZONA,11/2025,Autumn,Autumn 2025,Q4,Q4 2025,"1,955",
ARIZONA,12/2025,Winter,Winter 2025,Q4,Q4 2025,"2,080",
ARIZONA,1/2026,Winter,Winter 2026,Q1,Q1 2026,"2,150",
ARIZONA,2/2026,Winter,Winter 2026,Q1,Q1 2026,"2,020",
